Year,WHO region,Country,Beverage Types,Display Value
1970,Africa,Kenya,Tusker Lager,2.3
1970,Europe,France,Bordeaux Wine,5.8
1970,Asia,Japan,Sake,4.2
1970,Americas,United States,Old Fashioned,3.1
1970,Eastern Mediterranean,Iran,Arak,1.5
1970,Western Pacific,Australia,Fosters Lager,6.5
1965,Africa,Nigeria,Gulder Lager,1.8
1965,Europe,Italy,Chianti,4.5
1965,Asia,China,Rice Wine,3.9
1965,Americas,Canada,Caesar Cocktail,2.7
1965,Eastern Mediterranean,Lebanon,Ouzo,1.1
1965,Western Pacific,Samoa,Availa,0.8
1960,Africa,South Africa,Klipdrift Brandy,2.1
1960,Europe,Spain,Sherry,3.9
1960,Asia,South Korea,Makgeolli,3.2
1960,Americas,Argentina,Malbec,2.3
1960,Eastern Mediterranean,Egypt,Zamzam Cola,1.0
1960,Western Pacific,Philippines,San Miguel Beer,5.2
1955,Africa,Morocco,Mint Tea with Brandy,1.5
1955,Europe,Portugal,Port Wine,3.8
1955,Asia,Thailand,Mai Tai,4.2
1955,Americas,Brazil,Caipirinha,2.9
1955,Eastern Mediterranean,Iran,Vermouth,0.8
1955,Western Pacific,New Zealand,Pinot Noir,5.5
1950,Africa,Nigeria,Star Lager,1.2
1950,Europe,France,Champagne,3.5
1950,Asia,Japan,Umeshu,2.1
1950,Americas,United States,Martini,2.9
1950,Eastern Mediterranean,Iran,Arak,0.7
1950,Western Pacific,Australia,Shiraz,4.8
1945,Africa,South Africa,Brandy and Coke,1.6
1945,Europe,Italy,Amaro Montenegro,2.2
1945,Asia,China,Baijiu,5.1
1945,Americas,Mexico,Tequila Sunrise,3.2
1945,Eastern Mediterranean,Egypt,Zibib,0.5
1945,Western Pacific,Philippines,San Miguel Pale Pilsen,4.1
1940,Africa,Kenya,Tusker Lager,1.0
1940,Europe,Spain,Sangria,2.4
1940,Asia,Thailand,Singha Beer,3.1
1940,Americas,Brazil,Caipirinha,1.8
1940,Eastern Mediterranean,Iran,Vermouth,0.3
1940,Western Pacific,New Zealand,Sauvignon Blanc,3.7
1935,Africa,Morocco,Mint Tea with Brandy,0.8
1935,Europe,Portugal,Port Wine,2.1
1935,Asia,South Korea,Soju,1.5
1935,Americas,United States,Old Fashioned,2.1
1935,Eastern Mediterranean,Lebanon,Arak,0.4
1935,Western Pacific,Samoa,Kava,0.2
1930,Africa,Nigeria,Gulder Lager,0.7
1930,Europe,Italy,Chianti,1.9
1930,Asia,China,Rice Wine,2.5
1930,Americas,Canada,Caesar Cocktail,1.4
1930,Eastern Mediterranean,Lebanon,Ouzo,0.3
1930,Western Pacific,Samoa,Availa,0.1
1975,Africa,Morocco,Mint Tea with Brandy,2.5
1975,Europe,Portugal,Port Wine,5.2
1975,Asia,South Korea,Soju,6.8
1975,Americas,United States,Martini,4.3
1975,Eastern Mediterranean,Iran,Vodka,1.8
1975,Western Pacific,Australia,Shiraz,7.6
1980,Africa,Nigeria,Star Lager,3.8
1980,Europe,France,Calvados,4.9
1980,Asia,Japan,Sake,5.6
1980,Americas,Canada,Caesar Cocktail,3.5
1980,Eastern Mediterranean,Lebanon,Arak,1.2
1980,Western Pacific,Samoa,Kava,0.9
1985,Africa,South Africa,Brandy and Coke,4.1
1985,Europe,Italy,Amaro Montenegro,3.5
1985,Asia,China,Baijiu,6.8
1985,Americas,Mexico,Tequila Sunrise,4.9
1985,Eastern Mediterranean,Egypt,Zibib,1.5
1985,Western Pacific,Philippines,San Miguel Pale Pilsen,6.3
1990,Africa,Kenya,Tusker Lager,2.9
1990,Europe,Spain,Sangria,4.6
1990,Asia,Thailand,Singha Beer,5.4
1990,Americas,Brazil,Caipirinha,3.9
1990,Eastern Mediterranean,Iran,Arak,1.2
1990,Western Pacific,New Zealand,Sauvignon Blanc,6.8
1986,Western Pacific,Viet Nam,Wine,0
1986,Americas,Uruguay,Other,0.5
1985,Africa,Cte d'Ivoire,Wine,1.62
1986,Americas,Colombia,Beer,4.27
1987,Americas,Saint Kitts and Nevis,Beer,1.98
1987,Americas,Guatemala,Other,0
1987,Africa,Mauritius,Wine,0.13
1985,Africa,Angola,Spirits,0.39
1986,Americas,Antigua and Barbuda,Spirits,1.55
1984,Africa,Nigeria,Other,6.1
1987,Africa,Botswana,Wine,0.2
1989,Americas,Guatemala,Beer,0.62
1985,Western Pacific,Lao People's Democratic Republic,Beer,0
1984,Eastern Mediterranean,Afghanistan,Other,0
1985,Western Pacific,Viet Nam,Spirits,0.05
1987,Africa,Guinea-Bissau,Wine,0.07
1984,Americas,Costa Rica,Wine,0.06
1989,Africa,Seychelles,Beer,2.23
1984,Europe,Norway,Spirits,1.62
1984,Africa,Kenya,Beer,1.08
1986,South-East Asia,Myanmar,Wine,0
1989,Americas,Costa Rica,Spirits,4.51
1984,Europe,Romania,Spirits,2.67
1984,Europe,Turkey,Beer,0.44
1985,Africa,Comoros,Other,
1984,Eastern Mediterranean,Tunisia,Other,0
1985,Europe,United Kingdom of Great Britain and Northern Ireland,Wine,1.36
1984,Eastern Mediterranean,Bahrain,Beer,2.22
1987,Western Pacific,Viet Nam,Beer,0.11
1986,Europe,Italy,Other,
1986,Africa,Sierra Leone,Other,4.48
1986,Western Pacific,Micronesia (Federated States of),Wine,0
1989,Africa,Mauritius,Beer,1.6
1985,Africa,Mauritania,Other,0
1986,Europe,Russian Federation,Wine,0.8
1985,Americas,Saint Kitts and Nevis,Spirits,2.24
1987,Eastern Mediterranean,Egypt,Beer,0.07
1986,Europe,Sweden,Beer,3.04
1987,Eastern Mediterranean,Qatar,Other,0
1987,Africa,Burkina Faso,Spirits,0.01
1987,Europe,Austria,Spirits,1.9
1986,Europe,Czech Republic,Beer,6.82
1984,Europe,Ukraine,Spirits,3.06
1984,Western Pacific,China,Wine,0.03
1985,Europe,Lithuania,Other,
1989,Africa,Zimbabwe,Beer,0.19
1987,Americas,Trinidad and Tobago,Spirits,2.26
1986,Americas,Mexico,Other,0.04
1987,Americas,Nicaragua,Beer,0.7
1986,Europe,Malta,Wine,1.49
1985,Europe,Switzerland,Other,0.3
1987,Europe,Finland,Beer,3.88
1986,Eastern Mediterranean,Saudi Arabia,Wine,0
1984,Eastern Mediterranean,Kuwait,Beer,0
1984,Americas,El Salvador,Spirits,1.81
1989,Americas,Suriname,Wine,0.04
1987,Western Pacific,Viet Nam,Wine,0
1989,Europe,Croatia,Wine,5.1
1984,Eastern Mediterranean,Somalia,Spirits,0
1989,Eastern Mediterranean,Syrian Arab Republic,Other,0
1987,Eastern Mediterranean,Iran (Islamic Republic of),Other,0
1984,Western Pacific,Papua New Guinea,Spirits,0.08
1987,Americas,Suriname,Other,0
1985,Eastern Mediterranean,Libya,Other,0
1989,Americas,Bolivia (Plurinational State of),Beer,1.26
1989,Eastern Mediterranean,Somalia,Beer,0
1987,Eastern Mediterranean,Iraq,Wine,0.01
1989,Africa,Namibia,Beer,0
1989,Africa,Uganda,Beer,0.12
1986,Africa,Togo,Spirits,0.42
1986,Africa,Madagascar,Spirits,1.02
1985,Africa,Mali,Other,0.57
1987,Africa,Mauritania,Other,0
1986,Eastern Mediterranean,Pakistan,Other,0.01
1986,Americas,Bolivia (Plurinational State of),Spirits,2.06
1989,Eastern Mediterranean,Afghanistan,Other,0
1985,Africa,Comoros,Beer,0.02
1985,Africa,Cameroon,Spirits,0.01
1989,Americas,Jamaica,Other,0
1989,Europe,Finland,Other,2.09
1985,Africa,Malawi,Other,0.84
1985,Europe,Netherlands,Wine,2.54
1987,Europe,Ireland,Spirits,2.25
1986,Europe,Ukraine,Other,
1986,South-East Asia,Sri Lanka,Other,0
1985,Africa,Democratic Republic of the Congo,Wine,0.01
1986,Americas,Bahamas,Wine,1.83
1989,Eastern Mediterranean,Iraq,Wine,0.01
1987,Eastern Mediterranean,Lebanon,Beer,0.42
1986,Eastern Mediterranean,Lebanon,Wine,0.7
1989,Africa,Malawi,Wine,0.01
1989,Europe,Bulgaria,Beer,4.43
1986,Africa,Eritrea,Spirits,0
1987,Africa,Madagascar,Other,
1985,Europe,Ukraine,Spirits,3.06
1984,Africa,Niger,Other,0
1985,Europe,Luxembourg,Wine,7.38
1984,South-East Asia,Indonesia,Wine,0
1984,Africa,Equatorial Guinea,Wine,0
1985,South-East Asia,Democratic People's Republic of Korea,Wine,0
2010,Africa,Nigeria,Beer,4.5
2010,Europe,France,Wine,8.9
2010,Asia,Japan,Sake,7.2
2010,Americas,United States,Whiskey,9.8
2010,Eastern Mediterranean,Iran,Vodka,2.1
2010,Western Pacific,Australia,Beer,10.5
2011,Africa,South Africa,Wine,6.3
2011,Europe,Germany,Beer,11.3
2011,Asia,China,Rice Wine,5.2
2011,Americas,Canada,Whiskey,8.4
2011,Eastern Mediterranean,Saudi Arabia,Non-Alcoholic Beer,0.5
2011,Western Pacific,South Korea,Soju,8.1
2012,Africa,Egypt,Arak,3.6
2012,Europe,Italy,Wine,7.6
2012,Asia,India,Rum,2.8
2012,Americas,Mexico,Tequila,6.7
2012,Eastern Mediterranean,Lebanon,Beer,5.4
2012,Western Pacific,Philippines,San Miguel Beer,8.9
2013,Africa,Kenya,Tusker Beer,7.2
2013,Europe,Spain,Sangria,6.5
2013,Asia,Thailand,Thai Whiskey,5.8
2013,Americas,Brazil,Caipirinha,7.1
2013,Eastern Mediterranean,Turkey,Raki,4.3
2013,Western Pacific,New Zealand,Sauvignon Blanc,9.2
2014,Africa,Algeria,Casino Champagne,1.5
2014,Europe,Sweden,Absolut Vodka,8.3
2014,Asia,Vietnam,Ruou Can,6.7
2014,Americas,Argentina,Malbec,7.8
2014,Eastern Mediterranean,Iraq,Arrack,3.2
2014,Western Pacific,Fiji,Kava,0.9
2015,Africa,Ethiopia,Tella,2.4
2015,Europe,Netherlands,Heineken,10.1
2015,Asia,South Korea,Makgeolli,4.6
2015,Americas,Chile,Pisco,8.7
2015,Eastern Mediterranean,Jordan,Araq,2.8
2015,Western Pacific,Tonga,Cassava Beer,1.3
2016,Africa,Morocco,Mint Tea with Brandy,3.2
2016,Europe,Portugal,Port Wine,6.9
2016,Asia,South Korea,Soju,7.5
2016,Americas,United States,Craft Beer,9.4
2016,Eastern Mediterranean,Iran,Arak,2.6
2016,Western Pacific,Australia,Chardonnay,8.6
2017,Africa,Nigeria,Guinness Stout,4.8
2017,Europe,France,Champagne,7.4
2017,Asia,Japan,Sake,6.8
2017,Americas,Canada,Ice Wine,5.5
2017,Eastern Mediterranean,Lebanon,Ouzo,3.1
2017,Western Pacific,Samoa,Koko Samoa,1.9
2018,Africa,South Africa,Cape Brandy,5.7
2018,Europe,Italy,Limoncello,5.2
2018,Asia,China,Baijiu,8.1
2018,Americas,Mexico,Mezcal,6.3
2018,Eastern Mediterranean,Egypt,Zibib,2.4
2018,Western Pacific,Philippines,Red Horse Beer,7.9
2019,Africa,Kenya,Tusker Lager,6.5
2019,Europe,Spain,Cava,7.2
2019,Asia,Thailand,Singha Beer,5.4
2019,Americas,Brazil,Caipiroska,6.9
2019,Eastern Mediterranean,Iran,Vermouth,2.9
2019,Western Pacific,New Zealand,Pinot Noir,9.8
2020,Africa,Algeria,Mint Julep,1.8
2020,Europe,Sweden,Akvavit,8.0
2020,Asia,Vietnam,Bia Hoi,5.9
2020,Americas,Argentina,Fernet,7.3
2020,Eastern Mediterranean,Iraq,Dates Liqueur,3.6
2020,Western Pacific,Fiji,Yaqona,1.2
2021,Africa,Ethiopia,Tej,2.1
2021,Europe,Netherlands,Korenwijn,9.7
2021,Asia,South Korea,Yakju,4.3
2021,Americas,Chile,Chicha,8.2
2021,Eastern Mediterranean,Jordan,Sabbouha,2.5
2021,Western Pacific,Tonga,Taro Wine,1.5
2022,Africa,Morocco,Spiced Mint Mojito,3.5
2022,Europe,Portugal,Ginjinha,7.1
2022,Asia,South Korea,Craft Soju,6.7
2022,Americas,United States,Hard Seltzer,8.3
2022,Eastern Mediterranean,Iran,Mastika,2.3
2022,Western Pacific,Australia,Shiraz,8.2
2023,Africa,Nigeria,Star Lager,5.2
2023,Europe,France,Calvados,6.6
2023,Asia,Japan,Umeshu,7.0
2023,Americas,Canada,Caesar Cocktail,5.8
2023,Eastern Mediterranean,Lebanon,Chateau Musar,3.0
2023,Western Pacific,Samoa,Vailima Lager,2.0
2024,Africa,South Africa,Klipdrift Brandy,6.0
2024,Europe,Italy,Amaro Montenegro,4.8
2024,Asia,China,Moutai,9.0
2024,Americas,Mexico,Paloma Cocktail,6.1
2024,Eastern Mediterranean,Egypt,Zamzam Cola,2.7
2024,Western Pacific,Philippines,San Miguel Pale Pilsen,7.5